Politician,Information,Link,Picture
Daniel Meuser,"Daniel Philip Meuser ( MEW-zər; born February 10, 1964) is an American businessman, politician, and philanthropist serving as the U.S. representative for Pennsylvania's 9th congressional district since 2019. A Republican, he previously served as the secretary of revenue in the cabinet of Pennsylvania Governor Tom Corbett. He was previously president of the Pride Corporation, a manufacturer of motorized wheelchairs in the Wilkes-Barre/Scranton metro area of Pennsylvania, and currently serves the company as a board member and consultant. He has testified before Congress regarding the criticality for federal practices surrounding rights and caring for the disabled.
On January 6, 2021, Meuser was among the 147 Republican members of Congress who voted against the certification of the results of the 2020 United States presidential election.",https://en.wikipedia.org/wiki/Dan_Meuser,https://upload.wikimedia.org/wikipedia/commons/f/fc/President_Donald_Trump_and_Dan_Meuser.jpg
Garret Graves,"Garret Neal Graves (born January 31, 1972) is an American politician who served as the United States representative for Louisiana's 6th congressional district from 2015 to 2025. He is a member of the Republican Party. After redistricting dismantled his district, he declined to run for re-election in 2024.

",https://en.wikipedia.org/wiki/Garret_Graves,https://upload.wikimedia.org/wikipedia/commons/9/9d/Garret_Graves_official_congressional_photo.jpg
Lindsey Graham,"The 2008 United States Senate election in South Carolina was held on November 4, 2008, to elect a member of the United States Senate to represent the State of South Carolina. Incumbent Republican U.S. Senator Lindsey Graham won election to a second term.",https://en.wikipedia.org/wiki/2008_United_States_Senate_election_in_South_Carolina,https://upload.wikimedia.org/wikipedia/commons/9/98/2008_SC_Senate.svg
Blake D. Moore,"Blake David Moore (born June 22, 1980) is an American politician and former diplomat from the state of Utah. He is the U.S. representative for Utah's 1st congressional district, serving since January 2021. Since November 8, 2023, he has been vice chair of the House Republican Conference.",https://en.wikipedia.org/wiki/Blake_Moore,https://upload.wikimedia.org/wikipedia/commons/a/a4/Rep._Blake_Moore_official_photo%2C_2022.jpg
Rick Scott,"Richard Lynn Scott (né Myers; born December 1, 1952) is an American attorney, businessman, politician, and Navy veteran serving as the senior United States senator from Florida, a seat he has held since 2019. A member of the Republican Party, he served two terms as the 45th governor of Florida from 2011 to 2019.
Scott is a graduate of the University of Missouri–Kansas City and the Dedman School of Law at Southern Methodist University. In 1987, after serving in the U.S. Navy and becoming a law firm partner, he co-founded Columbia Hospital Corporation. Columbia later merged with another corporation to form Columbia/HCA, which eventually became the nation's largest for-profit health care company. Scott was pressured to resign as chief executive of Columbia/HCA in 1997. During his tenure as chief executive, the company defrauded Medicare, Medicaid, and other federal programs. The U.S. Department of Justice won 14 felony convictions against the company, which was fined $1.7 billion in what was at the time the largest healthcare fraud settlement in U.S. history. Following his departure from Columbia/HCA, Scott became a venture capitalist and pursued other business interests.
Scott ran for governor of Florida in 2010. He defeated Bill McCollum in a vigorously contested Republican primary election, and then defeated Democratic nominee Alex Sink by just over one point in the general election. Scott was reelected in 2014, again by just over one point, against former governor Charlie Crist. He was barred by term limits from running for reelection in 2018, and instead ran for the U.S. Senate.
Scott won the 2018 U.S. Senate election, defeating incumbent Democrat Bill Nelson. The initial election results were so close that they triggered a mandatory recount. The recount showed that Scott had won by 10,033 votes; Nelson then conceded the race. Scott took office following the expiration of his term as governor of Florida on January 8, 2019. He won reelection in 2024, defeating Democratic nominee Debbie Mucarsel-Powell by over 12 points. Marco Rubio's resignation to become Secretary of State in the second cabinet of Donald Trump made Scott Florida's senior senator.",https://en.wikipedia.org/wiki/Rick_Scott,https://upload.wikimedia.org/wikipedia/commons/5/55/Ann_Scott_%28cropped%29.jpg
Dwight Evans,"Dwight Evans (born May 16, 1954) is an American politician serving as a U.S. representative from Pennsylvania since 2016. A member of the Democratic Party, he previously served in the Pennsylvania House of Representatives, representing the 203rd district for over thirty-five years.
Evans defeated incumbent Chaka Fattah in the Democratic primary election for Pennsylvania's 2nd congressional district, and won a special election on November 8, 2016, following Fattah's resignation from Congress after he faced corruption charges. The district, which rebranded to Pennsylvania's 3rd congressional district in 2019, includes most of Center City, West, and Northwest Philadelphia.",https://en.wikipedia.org/wiki/Dwight_Evans_(politician),https://upload.wikimedia.org/wikipedia/commons/3/39/Dwight_Evans_at_a_rally_outside_City_Hall.jpg
J. French Hill,"James French Hill (born December 5, 1956) is an American businessman and politician serving as the U.S. representative for Arkansas's 2nd congressional district since 2015. He is a member of the Republican Party.

",https://en.wikipedia.org/wiki/French_Hill_(politician),https://upload.wikimedia.org/wikipedia/commons/c/c7/Rep._French_Hill_official_photo%2C_118th_Congress.jpg
John R. Curtis,"John Ream Curtis (born May 10, 1960) is an American politician serving as the junior United States senator from Utah, a seat he has held since January 3rd, 2025. A member of the Republican Party, Curtis served as the U.S. representative for Utah's 3rd congressional district from 2017 until 2025 and previously served as the 44th mayor of Provo, Utah, from 2010 to 2017.
On November 7, 2017, Curtis won a special election to replace Jason Chaffetz in the U.S. House of Representatives. He completed Chaffetz's term and was re-elected three times thereafter. He was elected to the United States Senate in the 2024 election to succeed Mitt Romney.
Curtis is generally considered to be a moderate Republican. He is the founder of the Conservative Climate Caucus and is a member of the centrist Republican Governance Group. Curtis did not support Donald Trump during the 2024 Republican primaries. Given his votes for bills such as the Respect for Marriage Act, analysts have generally considered Curtis's positions as similar to Romney's, although he has rejected such characterizations.

",https://en.wikipedia.org/wiki/John_Curtis,https://upload.wikimedia.org/wikipedia/commons/9/92/CurtisHeadShotOfficial.jpg
Greg Stanton,"Gregory John Stanton (born March 8, 1970) is an American lawyer and politician who is the U.S. representative from Arizona's 4th congressional district, serving since 2019. A Democrat, he was previously mayor of Phoenix from 2012 to 2018, and was on the Phoenix City Council from 2000 until 2009.
Stanton was elected mayor in 2011 and reelected in 2015. After then-incumbent U.S. Representative Kyrsten Sinema chose to run for the U.S. Senate, Stanton was elected to the open House seat. In 2020, he was reelected with 61% of the vote. In 2022, he was reelected with 56% of the vote.

",https://en.wikipedia.org/wiki/Greg_Stanton,https://upload.wikimedia.org/wikipedia/commons/8/8f/Greg_Stanton_official_portrait_%28118th_Congress%29.jpg
Katherine M. Clark,"Katherine Marlea Clark (born July 17, 1963) is an American lawyer and politician who has served as House Minority Whip since 2023 and the U.S. representative for Massachusetts's 5th congressional district since 2013. She previously served as Assistant Speaker from 2021 to 2023 and Vice Chair of the House Democratic Caucus from 2019 to 2021. Clark was a member of the Massachusetts House of Representatives from 2008 to 2011 and the Massachusetts Senate from 2011 to 2013.
Born in Connecticut, Clark worked as an attorney in several states before moving to Massachusetts in 1995, where she worked in state government. She joined the Melrose School Committee in 2002, becoming committee chair in 2005. She was first elected to the state legislature in 2008, and contributed to legislation regarding criminal justice, education, and municipal pensions. She is in her sixth term in Congress, having won the 2013 special election for the U.S. House of Representatives to succeed Ed Markey in the 5th district, and sits on the House Appropriations Committee.
Clark's district includes many of Boston's northern and western satellite cities and suburbs, such as Medford, Framingham, Woburn, Waltham, and her home city of Revere.",https://en.wikipedia.org/wiki/Katherine_Clark,https://upload.wikimedia.org/wikipedia/commons/1/14/Katherine_Clark%2C_official_portrait%2C_116th_Congress.jpg
J.D. Vance,"James David Vance (born James Donald Bowman; August 2, 1984) is an American politician, author, attorney, and Marine Corps veteran who has served as the 50th vice president of the United States since 2025 under President Donald Trump. A member of the Republican Party, he represented Ohio in the U.S. Senate from 2023 until he resigned in order to assume the vice presidency.
After high school, Vance joined the Marine Corps, where he served as a military journalist from 2003 to 2007, and was deployed to Iraq for six months in 2005. He graduated from Ohio State University with a bachelor's degree in 2009 and Yale Law School with a law degree in 2013. He practiced briefly as a corporate lawyer before embarking on a career in the tech industry as a venture capitalist. His memoir, Hillbilly Elegy, was published in 2016 and adapted into a film in 2020.
Vance won the 2022 United States Senate election in Ohio, defeating Democratic nominee Tim Ryan. After initially opposing Donald Trump's candidacy in the 2016 election, Vance became a strong Trump supporter during Trump's first presidency. In July 2024, Trump selected Vance as his running mate before the Republican National Convention. He served as Ohio's senator until his resignation in preparation to assume the vice presidency in January 2025. Vance is the third-youngest vice president in U.S. history and the first from the Millennial generation.
Vance has been characterized as a national conservative and right-wing populist, and he describes himself as a member of the postliberal right. His political positions include support for gun rights, school vouchers, and border security, while opposing abortion, and same-sex marriage. Vance is an outspoken critic of childlessness and has acknowledged the influence of Catholic theology on his sociopolitical positions.

",https://en.wikipedia.org/wiki/JD_Vance,https://upload.wikimedia.org/wikipedia/commons/d/df/2022_United_States_Senate_election_in_Ohio_results_map_by_county.svg
Pete Ricketts,"John Peter Ricketts (born August 19, 1964) is an American businessman and politician serving as the junior United States senator from Nebraska since 2023. A member of the Republican Party, he served as the 40th governor of Nebraska from 2015 to 2023.
Ricketts is the eldest son of Joe Ricketts, founder of TD Ameritrade. He is also, with other family members, a part owner of Major League Baseball's Chicago Cubs. Ricketts unsuccessfully ran for the U.S. Senate in 2006, losing to incumbent Ben Nelson. He ran for governor of Nebraska in 2014, and after narrowly winning the six-way Republican primary, defeated Democratic Party nominee Chuck Hassebrook, 57% to 39%. He was reelected in 2018, defeating Democratic nominee Bob Krist, 59% to 41%. As governor, Ricketts approved various budgets and tax cuts. He was also a firm supporter of capital punishment, and in 2018 the state carried out its first execution since 1997.
Ricketts left office after his second term as governor expired on January 5, 2023; a week later he was appointed to the U.S. Senate by his gubernatorial successor, Jim Pillen, to fill the vacancy created when Ben Sasse resigned to become president of the University of Florida. He was elected to complete Sasse's term in the 2024 special election, defeating Democratic nominee Preston Love Jr., 63% to 37%. Ricketts has announced he intends to seek a full Senate term in 2026.",https://en.wikipedia.org/wiki/Pete_Ricketts,https://upload.wikimedia.org/wikipedia/commons/3/30/2006_United_States_Senate_election_in_Nebraska_results_map_by_county.svg
Lois Frankel,"Lois Jane Frankel ( FRANG-kəl; born May 16, 1948) is an American politician and lawyer who has been the United States representative for Florida's 22nd congressional district since 2023 and from 2013 to 2017 and Florida’s 21st congressional district from 2017 to 2023. As a member of the Democratic Party, Frankel was a 7-term member of the Florida House of Representatives and a two-term mayor of West Palm Beach.
Frankel was a member of the Florida House for fourteen years, serving as Minority Whip and later Minority Leader of the Florida State House. She was elected mayor of West Palm Beach in 2003, serving two terms in office until leaving office in 2011 due to term limits. Frankel additionally ran unsuccessful campaigns to run for the US House of Representatives in 1992 and for Governor of Florida in 2002.

",https://en.wikipedia.org/wiki/Lois_Frankel,https://upload.wikimedia.org/wikipedia/commons/a/a2/Lois_Frankel%2C_Official_portrait%2C_113th_Congress.jpg
Mark R. Warner,"Mark Robert Warner (born December 15, 1954) is an American businessman and politician serving as the senior United States senator from Virginia, a seat he has held since 2009. A member of the Democratic Party, Warner served as the 69th governor of Virginia from 2002 to 2006. He is vice chair of the Senate Democratic Caucus and chair of the Senate Intelligence Committee.
In 2006, Warner was widely expected to pursue the Democratic nomination in the 2008 U.S. presidential election, but he announced in October 2006 that he would not run, citing a desire not to disrupt his family life. Warner delivered the keynote address at the 2008 Democratic National Convention, and was considered to be a potential vice presidential candidate until he took himself out of consideration after winning the Democratic nomination for the U.S. Senate.
Running against his gubernatorial predecessor, Jim Gilmore, Warner won his first election to the Senate in 2008 with 65% of the vote. He was reelected in 2014, narrowly defeating Ed Gillespie, and in 2020 defeating Republican nominee Daniel Gade by twelve percentage points. Warner is the honorary chairman of Forward Together PAC.
Before entering politics, Warner became involved in telecommunications-related venture capital during the 1980s. He founded and led the Columbia Capital firm. He also co-founded Capital Cellular Corporation. With a net worth of $214.1 million, Warner is the third-wealthiest member of Congress and its wealthiest Democrat.",https://en.wikipedia.org/wiki/Mark_Warner,https://upload.wikimedia.org/wikipedia/commons/0/0f/Barack_Obama_aboard_Air_Force_One%2C_July_13%2C_2012.jpg
Thom Tillis,"Thomas Roland Tillis ( TIL-iss; born August 30, 1960) is an American politician serving as the senior United States senator from North Carolina, a seat he has held since 2015. A member of the Republican Party, Tillis served in the North Carolina House of Representatives from 2007 to 2015, and as its speaker from 2011 to 2015.
As speaker of the North Carolina House of Representatives, Tillis led the Republican effort to block the expansion of Medicaid and worked to introduce restrictions on abortion, stringent voting requirements, and a constitutional amendment banning same-sex marriage. Tillis was elected to the Senate in 2014, defeating Democratic incumbent Kay Hagan, and reelected by a slightly larger margin in 2020, defeating Democratic nominee Cal Cunningham. He became the state's senior U.S. senator when Richard Burr retired in 2023.
In the Senate, Tillis has sought to repeal the Affordable Care Act, proposed a 15-year pathway to citizenship for some undocumented youth as a more conservative alternative to the bipartisan DREAM Act, and voted for the Bipartisan Safer Communities Act, which provided states funding for red flag laws, crises intervention orders and school safety resources. Tillis initially opposed President Donald Trump's national emergency declaration to divert funding to a border wall but voted for it after pressure from his party. His views on same-sex marriage evolved over time, and in 2022 he voted for the Respect for Marriage Act, which repealed the Defense of Marriage Act and codified same-sex and interracial marriage into federal law.",https://en.wikipedia.org/wiki/Thom_Tillis,https://upload.wikimedia.org/wikipedia/commons/0/01/Sen._Thom_Tillis_official_photo.jpg
Brian Babin,"Brian Philip Babin ( BAB-in; born March 23, 1948) is an American dentist, politician and member of the Republican Party who has served as the U.S. representative from Texas's 36th congressional district since 2015. The district includes much of southeastern Houston, some of its eastern suburbs, as well as Orange and some more exurban areas to the east.
A graduate of Lamar University and the University of Texas Dental Branch, Babin served in the United States Air Force from 1975 to 1979. He then opened a dental practice in Woodville, south of Lufkin, and became involved in Republican politics. He worked for various state and federal campaigns and held numerous local and regional government positions, including president of the Texas State Board of Dental Examiners (1981–1987), on the Deep East Texas Council of Governments (1982–1984), mayor of Woodville (1982–1984), on the Woodville City Council (1984–1989), on the Texas Historical Commission (1989–1995), chairman of the Tyler County Republican Party (1990–1995), on the Woodville Independent School District Board (1992–1995) and on the Lower Neches Valley Authority (1999–2015).
Babin was the Republican nominee for Texas's 2nd congressional district in 1996 and 1998, losing to Democrat Jim Turner both times. He ran again in 2014 to succeed Steve Stockman, who ran unsuccessfully for the U.S. Senate, and was elected to succeed him.",https://en.wikipedia.org/wiki/Brian_Babin,https://upload.wikimedia.org/wikipedia/commons/5/56/Brian_Babin_115th_Congress.jpg
Zoe Lofgren,"Susan Ellen ""Zoe"" Lofgren ( ZOH LOF-grin; born December 21, 1947) is an American politician and lawyer serving as a U.S. representative from California. A member of the Democratic Party, Lofgren is in her 15th term in Congress, having been first elected in 1994. Lofgren has long served on the House Judiciary Committee, and chaired the House Administration Committee in the 116th and 117th Congresses.
Lofgren was the 16th district's first female U.S. representative, before part of the district was redistricted into the 19th congressional district. She currently represents the 18th district, which covers much of Santa Clara County, including Gilroy, Morgan Hill, and most of San Jose. Representing a district covering much of Silicon Valley, Lofgren has been noted for her activity in tech-related policy areas such as net neutrality and digital surveillance.",https://en.wikipedia.org/wiki/Zoe_Lofgren,https://upload.wikimedia.org/wikipedia/commons/d/d7/Zoe_Lofgren_109th_pictorial.jpg
Mary Gay Scanlon,"Mary Gay Scanlon (born August 30, 1959) is an American attorney and politician. A member of the Democratic Party, she has represented Pennsylvania's 5th congressional district in the United States House of Representatives since 2019. The district is based in Delaware County, a mostly suburban county west of Philadelphia, and also includes a southwestern portion of Philadelphia itself as well as slivers of Chester and Montgomery counties. Scanlon spent the final two months of 2018 as the member for Pennsylvania's 7th congressional district. She was elected to both positions on November 6, 2018. That day, she ran in a special election in the old 7th to serve out the term of her predecessor, Pat Meehan, and in a regular election for a full two-year term in the new 5th. She was sworn in as the member for the 7th on November 13, 2018, and transferred to the 5th on January 3, 2019.",https://en.wikipedia.org/wiki/Mary_Gay_Scanlon,https://upload.wikimedia.org/wikipedia/commons/e/e3/Mary_Gay_Scanlon%2C_official_portrait%2C_2018_%283x4_cropped%29.jpg
Marcy Kaptur,"Marcia Carolyn Kaptur ( KAP-tər; born June 17, 1946) is an American politician serving as the U.S. representative from Ohio's 9th congressional district. Now elected into her 22nd term, she has been a member of Congress since 1983.
A member of the Democratic Party, Kaptur is the longest-serving woman in congressional history (having surpassed Barbara Mikulski in 2023) and the dean of Ohio's congressional delegation.",https://en.wikipedia.org/wiki/Marcy_Kaptur,https://upload.wikimedia.org/wikipedia/commons/9/9c/Marcy_Kaptur_99th_Congress_1985.jpg
Tammy Duckworth,"Ladda Tammy Duckworth (born March 12, 1968) is an American politician and retired Army National Guard lieutenant colonel serving as the junior United States senator from Illinois since 2017. A member of the Democratic Party, she represented Illinois's 8th congressional district in the United States House of Representatives from 2013 to 2017.
Born in Bangkok, Thailand and raised in Honolulu, Hawaii, Duckworth was educated at the University of Hawaii at Manoa and George Washington University in Washington, D.C. A combat veteran of the Iraq War, she served as a U.S. Army helicopter pilot. In 2004, when her Black Hawk helicopter was hit by a rocket-propelled grenade fired by Iraqi insurgents, she lost both legs and some mobility in her right arm. She was the first female double amputee from the war. Despite her injuries, she was awarded a medical waiver to continue serving in the Illinois Army National Guard for another ten years until she retired as a lieutenant colonel in 2014.
Duckworth ran unsuccessfully for a seat in the United States House of Representatives in 2006, then served as director of the Illinois Department of Veterans Affairs from 2006 to 2009 and as assistant secretary for public and intergovernmental affairs at the United States Department of Veterans Affairs from 2009 to 2011. In 2012, Duckworth was elected to the U.S. House of Representatives, where she served two terms. She was elected to the U.S. Senate in 2016, defeating Republican incumbent Mark Kirk.
Duckworth is the first Thai American woman elected to Congress, the first person born in Thailand elected to Congress, the first woman with a disability elected to Congress, the first female double amputee in the Senate, and the first senator to give birth while in office. She is the second Asian American woman to serve in the Senate, after Mazie Hirono.",https://en.wikipedia.org/wiki/Tammy_Duckworth,https://upload.wikimedia.org/wikipedia/commons/c/c0/06.06_%E7%B8%BD%E7%B5%B1%E6%8E%A5%E8%A6%8B%E7%BE%8E%E5%9C%8B%E8%81%AF%E9%82%A6%E5%8F%83%E8%AD%B0%E5%93%A1%E8%A8%AA%E5%9C%98_-_Flickr_id_51227057227.jpg
Dan Crenshaw,"Daniel Reed Crenshaw (born March 14, 1984) is an American politician and former United States Navy SEAL officer serving as the U.S. representative for Texas's 2nd congressional district since 2019. He is a member of the Republican Party.
Crenshaw was a commissioned officer in the U.S. Navy, and served on SEAL Team 3 in the War in Afghanistan, reaching the rank of lieutenant commander. He was wounded in action during his third deployment, losing his right eye to an improvised explosive device. He served as a legislative assistant to Representative Pete Sessions, and was elected to Congress in 2018.",https://en.wikipedia.org/wiki/Dan_Crenshaw,https://upload.wikimedia.org/wikipedia/commons/9/92/Dan_Crenshaw%2C_16_July_2020.jpg
Seth Moulton,"Seth Wilbur Moulton (born October 24, 1978) is an American politician who has been the U.S. representative for Massachusetts's 6th congressional district since 2015. A former Marine Corps officer, he is a member of the Democratic Party.
After graduating from Harvard University in 2001 with a Bachelor of Science in physics, Moulton joined the United States Marine Corps. He served four tours in Iraq and then earned his master's degrees in business and public policy in a dual program at Harvard. He entered politics in 2014, when he was elected to represent Massachusetts's 6th congressional district.
In early 2019, Moulton was seen as a potential presidential candidate for the Democratic nomination in 2020. Publicly expressing his interest in the prospect, he traveled to early primary states. After announcing his candidacy on April 22, 2019, Moulton withdrew from the race on August 23.",https://en.wikipedia.org/wiki/Seth_Moulton,https://upload.wikimedia.org/wikipedia/commons/3/3b/Seth_Moulton_%283x4_cropped%29.jpg
Chris Jacobs,"Christopher Louis Jacobs (born November 28, 1966) is an American politician who represented New York's 27th congressional district in the United States House of Representatives from 2020 to 2023. Jacobs served as the 62nd secretary of state of New York from April 2006 to January 2007. Beginning in 2012, he held the post of Erie County clerk, and he was a Republican member of the New York State Senate for the 60th district from 2017 to 2020. On June 23, 2020, he won a special election to fill a congressional vacancy in the 27th district. He was reelected to a full term in November 2020.
Jacobs did not seek reelection in 2022, after receiving what Politico described as ""rising backlash"" from Republicans for supporting some gun control measures following the 2022 Buffalo shooting and the Robb Elementary School shooting.",https://en.wikipedia.org/wiki/Chris_Jacobs_(politician),https://upload.wikimedia.org/wikipedia/commons/3/3a/%2806-18-19%29_NY_State_Senator_Chris_Jacobs_during_Senate_Session_at_the_NY_State_Capitol%2C_Albany_NY.jpg
Jacky Rosen,"Jacklyn Sheryl Rosen (née Spektor; born August 2, 1957) is an American politician serving as the junior United States senator from Nevada since 2019. A member of the Democratic Party, she was the U.S. representative for Nevada's 3rd congressional district from 2017 to 2019.
Rosen was elected to the Senate in 2018, defeating Republican incumbent Dean Heller with 50.4% of the vote. She was the only candidate to defeat a Republican senator that year. Rosen was reelected in 2024 with 47.9% of the vote.",https://en.wikipedia.org/wiki/Jacky_Rosen,https://upload.wikimedia.org/wikipedia/commons/e/e6/Jacky_Rosen_Signature.svg
James R. Langevin,"James R. Langevin ( LANN-jə-vinn; born April 22, 1964) is an American politician who served as the U.S. representative for Rhode Island's 2nd congressional district from 2001 to 2023. A member of the Democratic Party, he is the first quadriplegic to serve in Congress; Langevin was appointed to be the first quadriplegic speaker pro tempore of the U.S. House of Representatives in 2019. Langevin did not seek reelection in 2022.",https://en.wikipedia.org/wiki/James_Langevin,https://upload.wikimedia.org/wikipedia/commons/4/41/Congressman_Jim_Langevin_%28D-RI%29.jpg
Cynthia Axne,"Cynthia Lynne Axne (née Wadle; born April 20, 1965) is an American politician who served as the U.S. representative from Iowa's 3rd congressional district from 2019 until 2023.
A member of the Democratic Party, Axne narrowly defeated incumbent Republican David Young in the 2018 elections. The district was anchored in the state capital Des Moines; it included much of the state's southwest quadrant, including Council Bluffs. Axne ran for reelection to a third term in 2022, but lost to Republican challenger Zach Nunn, a U.S. Air Force officer. She is the most recent Democrat to represent Iowa in Congress.",https://en.wikipedia.org/wiki/Cindy_Axne,https://upload.wikimedia.org/wikipedia/commons/4/4f/Axne_Official_Portrait.jpg
Peter Meijer,"Peter James Meijer (, MY-ər; born January 10, 1988) is an American politician and business analyst who served as the U.S. representative for Michigan's 3rd congressional district from 2021 to 2023. A member of the Republican Party, Meijer was a candidate in the 2024 United States Senate election in Michigan to succeed Debbie Stabenow. He dropped out on April 26, 2024.
Meijer is a member of the Meijer family, the owners of the Meijer superstore chain. He holds a bachelor's degree from Columbia University and a master's degree in business administration from New York University. Meijer served in the United States Army Reserve and was deployed to Iraq as an intelligence advisor during the Iraq War.
In 2020, Meijer was elected to the U.S. House of Representatives from Michigan's 3rd congressional district. He was one of 10 House Republicans who voted to impeach Donald Trump during Trump's second impeachment. Meijer sought re-election in 2022, but lost the Republican primary to former Trump administration official John Gibbs, who lost the general election to Democrat Hillary Scholten.",https://en.wikipedia.org/wiki/Peter_Meijer,https://upload.wikimedia.org/wikipedia/commons/0/05/Peter_Meijer_by_Gage_Skidmore.jpg
Van Taylor,"Nicholas Van Campen Taylor (born August 1, 1972), known as Van Taylor, is an American businessman and Republican politician from Plano, Texas. He was the U.S. representative for Texas's 3rd congressional district from 2019 to 2023, and was first elected in 2018.
The district included much of Collin County, a suburban county north of Dallas. A veteran of the Iraq War, he represented the 8th district in the Texas Senate from 2015 to 2019. He also previously served in the Texas House of Representatives for the 66th district in southwestern Collin County. On March 2, 2022, Taylor admitted to an extramarital affair and announced that he would suspend his reelection campaign and retire at the end of the 117th Congress.",https://en.wikipedia.org/wiki/Van_Taylor,https://upload.wikimedia.org/wikipedia/commons/1/1a/Van_Taylor%2C_official_portrait%2C_116th_Congress.jpg
Marie Newman,"Marie Newman (née Klassen; born April 13, 1964) is an American politician and marketing consultant who served as the U.S. representative from Illinois's 3rd congressional district from 2021 to 2023. The district encompassed parts of southwestern Chicago as well as many of its nearby suburbs, such as Oak Lawn, Western Springs, and Lockport. Newman was elected to the United States House of Representatives as the Democratic nominee, after defeating incumbent Dan Lipinski in the 2020 primary election.
Due to redistricting as a result of the 2020 United States Census, Newman in 2022 faced a choice between running in the heavily Hispanic 4th district which she had been drawn into, or against Sean Casten in a district with the majority of her former area. Newman opted to run against Casten in the Democratic primary, but was defeated.
In April 2023, Newman was appointed chief executive officer of Little City Foundation, a social services organization serving people with intellectual and developmental disabilities.

",https://en.wikipedia.org/wiki/Marie_Newman,https://upload.wikimedia.org/wikipedia/commons/4/46/Marie_Newman_Official_Portrait.jpg
Bob Gibbs,"Robert Brian Gibbs (born June 14, 1954) is an American politician who served as the U.S. representative for Ohio's 7th congressional district from 2011 to 2023. He is a member of the Republican Party. In April 2022, Gibbs announced he was not seeking reelection.",https://en.wikipedia.org/wiki/Bob_Gibbs,https://upload.wikimedia.org/wikipedia/commons/f/fb/Bob_Gibbs%2C_Official_Portrait%2C_112th_Congress.jpg
Alan S. Lowenthal,"Alan Stuart Lowenthal (; born March 8, 1941) is an American politician who served as the U.S. representative for California's 47th congressional district from 2013 to 2023. A member of the Democratic Party, he served as the California state assemblyman for the 54th district from 1998 to 2004 and California state senator from the 27th district from 2004 to 2012. In both posts, Lowenthal represented the city of Long Beach and its surrounding suburbs. On December 16, 2021, Lowenthal announced that he would not seek reelection to Congress.",https://en.wikipedia.org/wiki/Alan_Lowenthal,https://upload.wikimedia.org/wikipedia/commons/f/f2/Alan_Lowenthal_2010.jpg
Ed Perlmutter,"Edwin George Perlmutter (born May 1, 1953) is an American lawyer and politician who served as the U.S. representative for Colorado's 7th congressional district from 2007 to 2023. A member of the Democratic Party, his district was located in the northern and western suburbs of the Denver metropolitan area. He previously served as the Colorado state senator from the 20th district from 1995 to 2003. On January 10, 2022, he announced he would not seek re-election in 2022.",https://en.wikipedia.org/wiki/Ed_Perlmutter,https://upload.wikimedia.org/wikipedia/commons/c/cf/Ed_Perlmutter_official_photo.jpg
Robert B. Aderholt,"Robert Brown Aderholt ( AD-ər-hohlt; born July 22, 1965) is an American politician and attorney serving as the U.S. representative for Alabama's 4th congressional district since 1997. He is a member of the Republican Party. The district includes most of Tuscaloosa County north of the Black Warrior River, as well as Birmingham's far northern suburbs in Walker County and the southern suburbs of Huntsville and Decatur.
A social conservative, Aderholt was a member of the Tea Party Caucus. He became the dean of Alabama's congressional delegation following Senator Richard Shelby's retirement at the end of the 117th Congress. According to the Cook Partisan Voting Index, Aderholt represents the most Republican district in the country, with an index rating of R+33.",https://en.wikipedia.org/wiki/Robert_Aderholt,https://upload.wikimedia.org/wikipedia/commons/4/47/Donald_J._Trump_and_Robert_Aderholt_-_Jan_2019.jpg
Teresa Leger Fernandez,"Teresa Isabel Leger Fernandez ( teh-RESS-ah LEDGE-ər ferr-NAHN-dess; born July 1, 1959) is an American attorney and politician representing New Mexico's 3rd congressional district in the United States House of Representatives.",https://en.wikipedia.org/wiki/Teresa_Leger_Fernandez,https://upload.wikimedia.org/wikipedia/commons/6/63/Teresa_Leger_Fernandez_117th_Congress_portrait_2.jpg
Bradley Scott Schneider,"Bradley Scott Schneider (born August 20, 1961) is an American businessman and politician who is the U.S. representative for Illinois's 10th congressional district since 2017 and from 2013 to 2015. The district includes many of Chicago's northern suburbs in the Chicago metropolitan area. Its most populous city is Waukegan, an industrial suburb on Lake Michigan.
Before he was elected to Congress, Schneider worked as a management consultant and industrial engineer in Deerfield, Illinois. A member of the Democratic Party, Schneider was first elected in 2012, narrowly defeating Republican incumbent Bob Dold. In 2014, he lost his bid for reelection to Dold. He defeated Dold two years later in their third consecutive matchup. He has since been reelected four times by large margins.

",https://en.wikipedia.org/wiki/Brad_Schneider,https://upload.wikimedia.org/wikipedia/commons/5/58/Brad_Schneider_for_Congress_%282016%29.png
David B. McKinley,"David Bennett McKinley (born March 28, 1947) is an American businessman and politician who served as the U.S. representative for West Virginia's 1st congressional district from 2011 to 2023. A member of the Republican Party, McKinley was a member of the West Virginia House of Delegates from 1980 to 1994, and chaired the West Virginia Republican Party from 1990 to 1994.
McKinley is generally considered a moderate Republican. After West Virginia lost a House seat in the 2020 redistricting cycle, his district was merged with that of Representative Alex Mooney. McKinley lost to Mooney with 35.6% of the vote in the 2022 Republican primary.

",https://en.wikipedia.org/wiki/David_McKinley,https://upload.wikimedia.org/wikipedia/commons/6/63/David_McKinley_Official.jpg
